model_key,prediction_window,feature_group,target_cutoff,model,settings,threshold,accuracy,balanced_accuracy,f1_up,train_rows,test_rows,split_date
"focused|7d|Decision Tree|max_depth=4, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.45,0.45394736842105265,0.518186773255814,0.35568101623147497,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=4, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=4, min_samples_leaf=5",0.5,0.45394736842105265,0.518186773255814,0.35568101623147497,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=4, min_samples_leaf=5",7,price_volume_only,0.005,Decision Tree,"max_depth=4, min_samples_leaf=5",0.45,0.45394736842105265,0.518186773255814,0.35568101623147497,6698,1672,2025-03-03
"focused|7d|Decision Tree|max_depth=4, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.5,0.45394736842105265,0.518186773255814,0.35568101623147497,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=5,7,price_volume_only,0.005,Logistic Regression,C=5,0.45,0.4461722488038278,0.5181201550387596,0.3201174743024963,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=10",0.45,0.5059808612440191,0.5179021317829458,0.5385474860335195,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=200, max_depth=None, min_samples_leaf=3",7,price_volume_only,0.005,Random Forest,"n_estimators=200, max_depth=None, min_samples_leaf=3",0.47,0.5077751196172249,0.5175750968992248,0.5440443213296399,6698,1672,2025-03-03
"focused|7d|Random Forest|n_estimators=300, max_depth=None, min_samples_leaf=10",7,price_volume_only,0.005,Random Forest,"n_estimators=300, max_depth=None, min_samples_leaf=10",0.43,0.5179425837320574,0.5172056686046511,0.5712765957446808,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=0.1,7,price_volume_only,0.005,Logistic Regression,C=0.1,0.4,0.4946172248803828,0.5164123062015504,0.508435136707388,6698,1672,2025-03-03
focused|7d|Logistic Regression|C=2,7,price_volume_only,0.005,Logistic Regression,C=2,0.47,0.4264354066985646,0.516375968992248,0.2222222222222222,6698,1672,2025-03-03
