model_key,prediction_window,feature_group,target_cutoff,model,settings,threshold,accuracy,balanced_accuracy,f1_up,train_rows,test_rows,split_date
7d|trend_signals|0.005|Baseline Majority Class|most_frequent,7,trend_signals,0.005,Baseline Majority Class,most_frequent,default,0.5970149253731343,0.5,0.7476635514018691,6968,1742,2025-02-13
7d|price_volume_sentiment|0.005|Baseline Majority Class|most_frequent,7,price_volume_sentiment,0.005,Baseline Majority Class,most_frequent,default,0.6186491332934848,0.5,0.7644017725258493,6703,1673,2025-03-04
7d|price_volume_only|0.005|Baseline Majority Class|most_frequent,7,price_volume_only,0.005,Baseline Majority Class,most_frequent,default,0.6186491332934848,0.5,0.7644017725258493,6703,1673,2025-03-04
"7d|trend_signals|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,trend_signals,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.5,0.4707233065442021,0.4997863247863248,0.4412121212121212,6968,1742,2025-02-13
"7d|short_term_signals|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,short_term_signals,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.4,0.595292766934558,0.49925213675213675,0.7457627118644068,6974,1742,2025-02-13
"7d|trend_signals|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,trend_signals,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.4,0.5918484500574053,0.49914529914529915,0.7407947502734232,6968,1742,2025-02-13
"7d|price_volume_only|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,price_volume_only,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.5,0.4261805140466228,0.4980547604985386,0.2961876832844575,6703,1673,2025-03-04
"7d|short_term_signals|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,short_term_signals,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.43,0.5878300803673938,0.49786324786324787,0.7358351729212657,6974,1742,2025-02-13
"7d|short_term_signals|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,short_term_signals,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.45,0.5792192881745121,0.49690170940170936,0.7232918082295205,6974,1742,2025-02-13
"7d|short_term_signals|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,short_term_signals,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.4,0.5901262916188289,0.4960826210826211,0.7407407407407407,6974,1742,2025-02-13
"7d|trend_signals|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,trend_signals,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.43,0.5516647531572905,0.49581552706552706,0.6760680215678142,6968,1742,2025-02-13
"7d|trend_signals|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,trend_signals,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.45,0.5516647531572905,0.49581552706552706,0.6760680215678142,6968,1742,2025-02-13
"7d|trend_signals|0.005|Random Forest|n_estimators=100, max_depth=3, min_samples_leaf=5",7,trend_signals,0.005,Random Forest,"n_estimators=100, max_depth=3, min_samples_leaf=5",0.43,0.5895522388059702,0.49560185185185185,0.7402833272793317,6968,1742,2025-02-13
"7d|trend_signals|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,trend_signals,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.45,0.5648679678530425,0.49553062678062676,0.7006319115323855,6968,1742,2025-02-13
"7d|short_term_signals|0.005|Decision Tree|max_depth=4, min_samples_leaf=10",7,short_term_signals,0.005,Decision Tree,"max_depth=4, min_samples_leaf=10",0.43,0.5642939150401837,0.49504985754985753,0.7001185302252074,6974,1742,2025-02-13
"7d|price_volume_only|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_only,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.5,0.38254632396891813,0.4949540381324489,0.04085422469823584,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.5,0.38254632396891813,0.4949540381324489,0.04085422469823584,6703,1673,2025-03-04
7d|short_term_signals|0.005|Logistic Regression|C=0.5,7,short_term_signals,0.005,Logistic Regression,C=0.5,0.4,0.5838117106773824,0.49472934472934477,0.7323735695828719,6974,1742,2025-02-13
7d|trend_signals|0.005|Logistic Regression|C=1,7,trend_signals,0.005,Logistic Regression,C=1,0.4,0.582089552238806,0.4944444444444444,0.7299703264094956,6968,1742,2025-02-13
7d|trend_signals|0.005|Logistic Regression|C=0.5,7,trend_signals,0.005,Logistic Regression,C=0.5,0.43,0.571182548794489,0.4943376068376068,0.712581762216237,6968,1742,2025-02-13
7d|short_term_signals|0.005|Logistic Regression|C=1,7,short_term_signals,0.005,Logistic Regression,C=1,0.4,0.5832376578645235,0.4942485754985755,0.7319054652880355,6974,1742,2025-02-13
7d|trend_signals|0.005|Logistic Regression|C=1,7,trend_signals,0.005,Logistic Regression,C=1,0.43,0.5700344431687715,0.49337606837606834,0.7115902964959568,6968,1742,2025-02-13
7d|trend_signals|0.005|Logistic Regression|C=0.5,7,trend_signals,0.005,Logistic Regression,C=0.5,0.4,0.5809414466130884,0.493019943019943,0.7294292068198666,6968,1742,2025-02-13
"7d|price_volume_sentiment|0.005|Random Forest|n_estimators=100, max_depth=5, min_samples_leaf=10",7,price_volume_sentiment,0.005,Random Forest,"n_estimators=100, max_depth=5, min_samples_leaf=10",0.5,0.4136282127913927,0.49241894204412945,0.25285605483625284,6703,1673,2025-03-04
"7d|short_term_signals|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,short_term_signals,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.5,0.5574052812858783,0.4918269230769231,0.6912294753704445,6974,1742,2025-02-13
"7d|short_term_signals|0.005|Decision Tree|max_depth=3, min_samples_leaf=10",7,short_term_signals,0.005,Decision Tree,"max_depth=3, min_samples_leaf=10",0.45,0.5574052812858783,0.4918269230769231,0.6912294753704445,6974,1742,2025-02-13
"7d|price_volume_only|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_only,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.4,0.5564853556485355,0.4912422576590493,0.6812714776632303,6703,1673,2025-03-04
"7d|price_volume_sentiment|0.005|Decision Tree|max_depth=5, min_samples_leaf=20",7,price_volume_sentiment,0.005,Decision Tree,"max_depth=5, min_samples_leaf=20",0.4,0.5564853556485355,0.4912422576590493,0.6812714776632303,6703,1673,2025-03-04
